Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult
41:12.9,22.3978986,-83.90395835,31.9722824,374.0339089,546.797354,318.7489799,29.68,1.65,107.63,1008.04,1,1
41:14.0,22.39512211,-83.91171059,31.97455991,374.0565329,546.8302913,318.7708284,29.68,1.65,107.63,1008.07,1,1
41:14.8,22.39756862,-83.90904302,31.9727402,374.049759,546.8218806,318.7648293,29.68,1.65,107.63,1008.02,1,1
41:15.9,22.39606768,-83.91204214,31.97396018,374.059014,546.8355326,318.774665,29.68,1.65,107.63,1008.02,1,1
41:16.9,22.39755506,-83.90656308,31.97268965,374.0428522,546.8116514,318.7590843,29.68,1.65,107.63,1008.06,1,1
41:17.9,22.39669072,-83.90738419,31.97326794,374.0437288,546.8115205,318.7582164,29.68,1.65,107.63,1008.08,-1,1
41:18.9,22.36288702,-83.93385219,31.98614138,374.0734041,546.8126809,318.7447348,29.68,1.65,107.63,1008.1,-1,1
41:19.9,22.24756428,-83.90747817,32.19098169,374.0506035,546.1888335,317.7804705,29.68,1.65,107.63,1008.03,-1,1
41:20.9,22.27200646,-83.96121985,32.16863035,374.0926437,546.2181335,317.7617416,29.68,1.65,107.63,1008.04,1,1
41:21.9,22.31193392,-83.93162888,32.1547069,374.0535292,546.2030583,317.7655894,29.68,1.65,107.63,1008.07,1,1
41:22.8,22.42660535,-83.96173962,31.95042996,374.0866119,546.8417247,318.7385847,29.68,1.65,107.63,1008.03,-1,1
41:23.9,22.36755885,-83.93434041,31.98634402,374.0759119,546.8171398,318.7485969,29.68,1.65,107.63,1008.02,-1,1
41:24.9,22.2476379,-83.90173023,32.19075145,374.0339047,546.1636497,317.7655138,29.68,1.65,107.63,1008.08,-1,1
41:25.9,22.27237621,-83.95388618,32.16797043,374.0682406,546.1792968,317.7353986,29.68,1.65,107.63,1008.05,1,1
41:26.9,22.30924747,-83.93774313,32.15681135,374.0702912,546.2264132,317.7806053,29.68,1.65,107.63,1008.02,1,1
41:27.9,22.42721665,-83.96188486,31.95008448,374.088816,546.8465729,318.7427245,29.68,1.65,107.63,1008.02,1,1
41:28.9,22.40187453,-83.90679453,31.97306344,374.0430579,546.8113782,318.7588974,29.68,1.65,107.63,1008.05,1,1
41:29.9,22.39657679,-83.90732465,31.97336029,374.0436395,546.8113771,318.758316,29.68,1.65,107.63,1008.01,1,1
41:30.8,22.39571044,-83.91015739,31.9741309,374.0527845,546.8254183,318.7682357,29.68,1.65,107.63,1008.02,1,1
41:31.9,22.39716862,-83.90576799,31.97292083,374.039887,546.8065211,318.7557253,29.68,1.65,107.63,1008.01,1,1
41:32.9,22.39586964,-83.90719037,31.97388118,374.0433712,546.8107245,318.7586278,29.68,1.65,107.63,1008.07,1,1
41:33.9,22.39693868,-83.90642295,31.97305041,374.040654,546.8067784,318.7549413,29.68,1.65,107.63,1008.06,1,1
41:34.9,22.39572265,-83.91263867,31.97418559,374.0596929,546.8356408,318.7739798,29.68,1.65,107.63,1008.05,1,1
41:35.9,22.39732228,-83.91086342,31.97302927,374.0558217,546.831435,318.7714646,29.68,1.65,107.63,1008.04,1,1
41:36.9,22.3970896,-83.90988842,31.97315209,374.052659,546.8263203,318.7683014,29.68,1.65,107.63,1008.04,1,1
41:37.9,22.39696809,-83.90897572,31.9731909,374.0495888,546.8213355,318.7650371,29.68,1.65,107.63,1008.04,1,1
41:38.9,22.3967061,-83.90909027,31.97337433,374.0496903,546.8212045,318.7649444,29.68,1.65,107.63,1008.03,1,1
41:39.9,22.3965947,-83.90902819,31.97345904,374.049598,546.8210736,318.7650454,29.68,1.65,107.63,1008.04,1,1
41:40.8,22.39684612,-83.90806349,31.97323107,374.0465191,546.8163484,318.7617724,29.68,1.65,107.63,1008.04,1,1
41:41.9,22.39644369,-83.9092053,31.97355908,374.0497923,546.8210714,318.7648514,29.68,1.65,107.63,1008.01,1,1
41:42.9,22.39637165,-83.90890421,31.97362917,374.0494136,546.8208105,318.7652475,29.68,1.65,107.63,1008.04,1,1
41:43.9,22.39712638,-83.90600968,31.97294393,374.0401766,546.8066372,318.7554287,29.68,1.65,107.63,1008.03,1,1
41:44.9,22.39580827,-83.9093723,31.97401071,374.0499029,546.8206784,318.764767,29.68,1.65,107.63,1008.01,1,1
41:45.9,22.39651145,-83.9078777,31.97348661,374.0462428,546.8159532,318.7620753,29.68,1.65,107.63,1008.05,1,1
41:46.9,22.39697511,-83.90618701,31.97304473,374.0403712,546.8066338,318.7552345,29.68,1.65,107.63,1008.02,1,1
41:47.9,22.39555593,-83.91033793,31.97424143,374.0529828,546.8253991,318.7680395,29.68,1.65,107.63,1008.04,1,1
41:48.9,22.39724651,-83.90692376,31.97290929,374.0432484,546.8116153,318.7586922,29.68,1.65,107.63,1008.04,1,1
41:49.9,22.39618005,-83.90932145,31.97374743,374.0498956,546.8209324,318.7647577,29.68,1.65,107.63,1008.05,1,1
41:50.9,22.3968145,-83.90915535,31.97329864,374.0497861,546.8213208,318.7648415,29.68,1.65,107.63,1008.05,1,1
41:51.9,22.39667379,-83.91018283,31.97344396,374.052958,546.8261735,318.768013,29.68,1.65,107.63,1008.06,1,1
41:52.9,22.39704649,-83.91013105,31.9731779,374.0529496,546.8264321,318.7680042,29.68,1.65,107.63,1008.07,1,1
41:53.9,22.39701695,-83.91122084,31.9732392,374.0562141,546.8314146,318.7710745,29.68,1.65,107.63,1008.07,1,1
41:54.9,22.397138,-83.91213399,31.97320178,374.0592848,546.8363972,318.7743386,29.68,1.65,107.63,1008.05,1,1
41:55.9,22.39717719,-83.91189528,31.97318777,374.0589988,546.8362663,318.7746334,29.68,1.65,107.63,1008.04,1,1
41:56.9,22.39734675,-83.90977871,31.97298324,374.0525631,546.8264276,318.7683912,29.68,1.65,107.63,1008.04,1,1
41:57.8,22.39696348,-83.90898034,31.97320476,374.0495941,546.8213129,318.7650343,29.68,1.65,107.63,1008.01,1,1
41:58.9,22.39636802,-83.90890796,31.97364019,374.0494179,546.8207926,318.7652452,29.68,1.65,107.63,1008.12,1,1
41:59.9,22.39801205,-83.90651182,31.97228292,374.0409214,546.8076578,318.7546167,29.68,1.65,107.63,1008.07,-1,1
42:00.9,22.36166152,-83.94007736,31.98730503,374.0924541,546.8414971,318.7637675,29.68,1.65,107.63,1008.07,-1,1
42:01.9,22.24893212,-83.90558776,32.19002186,374.0465581,546.1843217,317.778152,29.68,1.65,107.63,1008.05,-1,1
42:02.9,22.27237881,-83.95838674,32.16824034,374.0834264,546.2036542,317.7519256,29.68,1.65,107.63,1008.05,1,1
42:03.9,22.31096917,-83.93409832,32.15548949,374.0602801,546.212459,317.7715479,29.68,1.65,107.63,1008.03,1,1
42:04.9,22.42653402,-83.96229866,31.95057435,374.0892222,546.8462715,318.7423404,29.68,1.65,107.63,1008.03,1,1
42:05.9,22.41053481,-83.91616245,31.94417082,374.0378963,546.8604123,318.7953996,30.58,1.95,109.58,1008.03,1,1
42:06.9,22.57537498,-83.97563395,31.72482154,374.1312095,547.22572,318.6477297,20.39,3.75,109.58,1008.02,1,1
42:07.9,22.35651587,-83.93708523,33.86795667,378.1058269,548.6020759,315.2322716,26.83,11.39,110.48,1008.04,1,1
42:08.9,18.67154056,-93.97415342,32.76720813,386.2876029,546.1199925,300.1105447,7.79,9.14,101.78,1008.1,1,1
42:09.8,39.47587213,-78.97995674,25.88040019,374.7766978,553.9285757,320.903169,-25.93,4.5,61.31,1008.06,-1,-1
42:10.9,21.50055714,-88.66575448,21.79580573,365.5030523,551.0980119,331.1075422,-13.19,2.85,74.8,1008.01,-1,-1
42:11.9,-3.867549967,-113.6945667,8.132563968,354.5831461,534.1318006,314.6368856,7.35,-2.25,81.25,1008.05,1,1
42:12.9,9.503088426,-101.7225568,11.03268534,357.0634853,539.3931311,317.6530511,4.95,-1.8,78.1,1008.05,1,1
42:13.9,17.77007866,-95.0724736,15.4500796,358.8467395,539.5939215,319.6908193,5.25,-1.2,83.95,1008.05,1,1
42:14.9,17.4800007,-98.01088547,13.25234033,358.5478413,539.4773537,318.4819098,5.25,-1.8,77.5,1008.07,1,1
42:15.9,16.15755651,-97.48308445,15.74816238,361.3481514,540.8408916,318.5339659,5.25,-1.8,77.5,1008.08,1,1
42:16.9,18.17624948,-97.82495229,12.83187603,358.1891328,539.2473625,318.4159382,5.25,-1.8,77.5,1008.01,1,1
